district,ps,reg_year,reg_month,count
AGRA,CHITRAHAT,2018,4,7
AGRA,CHITRAHAT,2018,5,8
AGRA,CHITRAHAT,2018,6,5
AGRA,CHITRAHAT,2018,7,2
AGRA,CHITRAHAT,2018,8,4
AGRA,CHITRAHAT,2018,9,3
AGRA,CHITRAHAT,2018,10,7
AGRA,CHITRAHAT,2018,11,6
AGRA,CHITRAHAT,2018,12,2
AGRA,DAUKI,2016,1,34
AGRA,DAUKI,2016,2,33
AGRA,DAUKI,2016,3,20
AGRA,DAUKI,2016,4,22
AGRA,DAUKI,2016,5,38
AGRA,DAUKI,2016,6,13
AGRA,DAUKI,2016,7,20
AGRA,DAUKI,2016,8,32
AGRA,DAUKI,2016,9,17
AGRA,DAUKI,2016,10,31
AGRA,DAUKI,2016,11,21
AGRA,DAUKI,2016,12,17
AGRA,DAUKI,2017,1,19
AGRA,DAUKI,2017,2,31
AGRA,DAUKI,2017,3,23
AGRA,DAUKI,2017,4,33
AGRA,DAUKI,2017,5,41
AGRA,DAUKI,2017,6,46
AGRA,DAUKI,2017,7,19
AGRA,DAUKI,2017,8,60
AGRA,DAUKI,2017,9,54
AGRA,DAUKI,2017,10,18
AGRA,DAUKI,2017,11,21
AGRA,DAUKI,2017,12,37
AGRA,DAUKI,2018,1,52
AGRA,DAUKI,2018,2,35
AGRA,DAUKI,2018,3,28
AGRA,DAUKI,2018,4,29
AGRA,DAUKI,2018,5,35
AGRA,DAUKI,2018,6,37
AGRA,DAUKI,2018,7,16
AGRA,DAUKI,2018,8,26
AGRA,DAUKI,2018,9,45
AGRA,DAUKI,2018,10,30
AGRA,DAUKI,2018,11,20
AGRA,DAUKI,2018,12,38
AGRA,ETMADDAULA,2016,1,81
AGRA,ETMADDAULA,2016,2,78
AGRA,ETMADDAULA,2016,3,62
AGRA,ETMADDAULA,2016,4,89
AGRA,ETMADDAULA,2016,5,95
AGRA,ETMADDAULA,2016,6,93
AGRA,ETMADDAULA,2016,7,100
AGRA,ETMADDAULA,2016,8,107
AGRA,ETMADDAULA,2016,9,100
AGRA,ETMADDAULA,2016,10,83
AGRA,ETMADDAULA,2016,11,91
AGRA,ETMADDAULA,2016,12,76
AGRA,ETMADDAULA,2017,1,78
AGRA,ETMADDAULA,2017,2,64
AGRA,ETMADDAULA,2017,3,100
AGRA,ETMADDAULA,2017,4,110
AGRA,ETMADDAULA,2017,5,105
AGRA,ETMADDAULA,2017,6,108
AGRA,ETMADDAULA,2017,7,92
AGRA,ETMADDAULA,2017,8,84
AGRA,ETMADDAULA,2017,9,104
AGRA,ETMADDAULA,2017,10,99
AGRA,ETMADDAULA,2017,11,110
AGRA,ETMADDAULA,2017,12,75
AGRA,ETMADDAULA,2018,1,84
AGRA,ETMADDAULA,2018,2,83
AGRA,ETMADDAULA,2018,3,90
AGRA,ETMADDAULA,2018,4,94
AGRA,ETMADDAULA,2018,5,110
AGRA,ETMADDAULA,2018,6,78
AGRA,ETMADDAULA,2018,7,110
AGRA,ETMADDAULA,2018,8,139
AGRA,ETMADDAULA,2018,9,100
AGRA,ETMADDAULA,2018,10,107
AGRA,ETMADDAULA,2018,11,70
AGRA,ETMADDAULA,2018,12,79
AGRA,ETMADPUR,2016,1,28
AGRA,ETMADPUR,2016,2,15
AGRA,ETMADPUR,2016,3,42
AGRA,ETMADPUR,2016,4,30
AGRA,ETMADPUR,2016,5,37
AGRA,ETMADPUR,2016,6,40
AGRA,ETMADPUR,2016,7,29
AGRA,ETMADPUR,2016,8,36
AGRA,ETMADPUR,2016,9,35
AGRA,ETMADPUR,2016,10,28
AGRA,ETMADPUR,2016,11,24
AGRA,ETMADPUR,2016,12,30
AGRA,ETMADPUR,2017,1,27
AGRA,ETMADPUR,2017,2,17
AGRA,ETMADPUR,2017,3,35
AGRA,ETMADPUR,2017,4,20
AGRA,ETMADPUR,2017,5,34
AGRA,ETMADPUR,2017,6,55
AGRA,ETMADPUR,2017,7,48
AGRA,ETMADPUR,2017,8,51
AGRA,ETMADPUR,2017,9,63
AGRA,ETMADPUR,2017,10,46
AGRA,ETMADPUR,2017,11,34
AGRA,ETMADPUR,2017,12,34
AGRA,ETMADPUR,2018,1,30
AGRA,ETMADPUR,2018,2,33
AGRA,ETMADPUR,2018,3,44
AGRA,ETMADPUR,2018,4,49
AGRA,ETMADPUR,2018,5,48
AGRA,ETMADPUR,2018,6,55
AGRA,ETMADPUR,2018,7,43
AGRA,ETMADPUR,2018,8,36
AGRA,ETMADPUR,2018,9,47
AGRA,ETMADPUR,2018,10,33
AGRA,ETMADPUR,2018,11,26
AGRA,ETMADPUR,2018,12,26
AGRA,FATEHABAD,2016,1,31
AGRA,FATEHABAD,2016,2,16
AGRA,FATEHABAD,2016,3,28
AGRA,FATEHABAD,2016,4,27
AGRA,FATEHABAD,2016,5,27
AGRA,FATEHABAD,2016,6,33
AGRA,FATEHABAD,2016,7,29
AGRA,FATEHABAD,2016,8,44
AGRA,FATEHABAD,2016,9,15
AGRA,FATEHABAD,2016,10,25
AGRA,FATEHABAD,2016,11,18
AGRA,FATEHABAD,2016,12,20
AGRA,FATEHABAD,2017,1,36
AGRA,FATEHABAD,2017,2,11
AGRA,FATEHABAD,2017,3,23
AGRA,FATEHABAD,2017,4,20
AGRA,FATEHABAD,2017,5,25
AGRA,FATEHABAD,2017,6,47
AGRA,FATEHABAD,2017,7,22
AGRA,FATEHABAD,2017,8,37
AGRA,FATEHABAD,2017,9,25
AGRA,FATEHABAD,2017,10,16
AGRA,FATEHABAD,2017,11,33
AGRA,FATEHABAD,2017,12,28
AGRA,FATEHABAD,2018,1,39
AGRA,FATEHABAD,2018,2,48
AGRA,FATEHABAD,2018,3,39
AGRA,FATEHABAD,2018,4,23
AGRA,FATEHABAD,2018,5,41
AGRA,FATEHABAD,2018,6,33
AGRA,FATEHABAD,2018,7,39
AGRA,FATEHABAD,2018,8,42
AGRA,FATEHABAD,2018,9,31
AGRA,FATEHABAD,2018,10,37
AGRA,FATEHABAD,2018,11,37
AGRA,FATEHABAD,2018,12,18
AGRA,FATEHPUR SIKRI,2016,1,17
AGRA,FATEHPUR SIKRI,2016,2,39
AGRA,FATEHPUR SIKRI,2016,3,30
AGRA,FATEHPUR SIKRI,2016,4,42
AGRA,FATEHPUR SIKRI,2016,5,40
AGRA,FATEHPUR SIKRI,2016,6,56
AGRA,FATEHPUR SIKRI,2016,7,26
AGRA,FATEHPUR SIKRI,2016,8,27
AGRA,FATEHPUR SIKRI,2016,9,40
AGRA,FATEHPUR SIKRI,2016,10,35
AGRA,FATEHPUR SIKRI,2016,11,28
AGRA,FATEHPUR SIKRI,2016,12,34
AGRA,FATEHPUR SIKRI,2017,1,35
AGRA,FATEHPUR SIKRI,2017,2,56
AGRA,FATEHPUR SIKRI,2017,3,39
AGRA,FATEHPUR SIKRI,2017,4,40
AGRA,FATEHPUR SIKRI,2017,5,30
AGRA,FATEHPUR SIKRI,2017,6,32
AGRA,FATEHPUR SIKRI,2017,7,52
AGRA,FATEHPUR SIKRI,2017,8,72
AGRA,FATEHPUR SIKRI,2017,9,35
AGRA,FATEHPUR SIKRI,2017,10,28
AGRA,FATEHPUR SIKRI,2017,11,30
AGRA,FATEHPUR SIKRI,2017,12,24
AGRA,FATEHPUR SIKRI,2018,1,29
AGRA,FATEHPUR SIKRI,2018,2,128
AGRA,FATEHPUR SIKRI,2018,3,30
AGRA,FATEHPUR SIKRI,2018,4,28
AGRA,FATEHPUR SIKRI,2018,5,56
AGRA,FATEHPUR SIKRI,2018,6,29
AGRA,FATEHPUR SIKRI,2018,7,28
AGRA,FATEHPUR SIKRI,2018,8,31
AGRA,FATEHPUR SIKRI,2018,9,36
AGRA,FATEHPUR SIKRI,2018,10,39
AGRA,FATEHPUR SIKRI,2018,11,24
AGRA,FATEHPUR SIKRI,2018,12,38
AGRA,GRP AGRA CANTT,2016,1,20
AGRA,GRP AGRA CANTT,2016,2,20
AGRA,GRP AGRA CANTT,2016,3,12
AGRA,GRP AGRA CANTT,2016,4,12
AGRA,GRP AGRA CANTT,2016,5,13
AGRA,GRP AGRA CANTT,2016,6,19
AGRA,GRP AGRA CANTT,2016,7,16
AGRA,GRP AGRA CANTT,2016,8,22
AGRA,GRP AGRA CANTT,2016,9,7
AGRA,GRP AGRA CANTT,2016,10,25
AGRA,GRP AGRA CANTT,2016,11,37
AGRA,GRP AGRA CANTT,2016,12,20
AGRA,GRP AGRA CANTT,2017,1,28
AGRA,GRP AGRA CANTT,2017,2,37
AGRA,GRP AGRA CANTT,2017,3,36
AGRA,GRP AGRA CANTT,2017,4,32
AGRA,GRP AGRA CANTT,2017,5,37
AGRA,GRP AGRA CANTT,2017,6,40
AGRA,GRP AGRA CANTT,2017,7,52
AGRA,GRP AGRA CANTT,2017,8,53
AGRA,GRP AGRA CANTT,2017,9,53
AGRA,GRP AGRA CANTT,2017,10,62
AGRA,GRP AGRA CANTT,2017,11,40
AGRA,GRP AGRA CANTT,2017,12,36
AGRA,GRP AGRA CANTT,2018,1,73
AGRA,GRP AGRA CANTT,2018,2,36
AGRA,GRP AGRA CANTT,2018,3,56
AGRA,GRP AGRA CANTT,2018,4,31
AGRA,GRP AGRA CANTT,2018,5,48
AGRA,GRP AGRA CANTT,2018,6,39
AGRA,GRP AGRA CANTT,2018,7,67
AGRA,GRP AGRA CANTT,2018,8,98
AGRA,GRP AGRA CANTT,2018,9,105
AGRA,GRP AGRA CANTT,2018,10,97
AGRA,GRP AGRA CANTT,2018,11,93
AGRA,GRP AGRA CANTT,2018,12,82
AGRA,GRP AGRA FORT,2016,1,5
AGRA,GRP AGRA FORT,2016,2,2
AGRA,GRP AGRA FORT,2016,3,4
AGRA,GRP AGRA FORT,2016,4,4
AGRA,GRP AGRA FORT,2016,5,7
AGRA,GRP AGRA FORT,2016,6,2
AGRA,GRP AGRA FORT,2016,7,0
AGRA,GRP AGRA FORT,2016,8,1
AGRA,GRP AGRA FORT,2016,9,3
AGRA,GRP AGRA FORT,2016,10,6
AGRA,GRP AGRA FORT,2016,11,5
AGRA,GRP AGRA FORT,2016,12,6
AGRA,GRP AGRA FORT,2017,1,11
AGRA,GRP AGRA FORT,2017,2,2
AGRA,GRP AGRA FORT,2017,3,3
AGRA,GRP AGRA FORT,2017,4,3
AGRA,GRP AGRA FORT,2017,5,8
AGRA,GRP AGRA FORT,2017,6,18
AGRA,GRP AGRA FORT,2017,7,13
AGRA,GRP AGRA FORT,2017,8,8
AGRA,GRP AGRA FORT,2017,9,17
AGRA,GRP AGRA FORT,2017,10,41
AGRA,GRP AGRA FORT,2017,11,12
AGRA,GRP AGRA FORT,2017,12,12
AGRA,GRP AGRA FORT,2018,1,41
AGRA,GRP AGRA FORT,2018,2,44
AGRA,GRP AGRA FORT,2018,3,23
AGRA,GRP AGRA FORT,2018,4,24
AGRA,GRP AGRA FORT,2018,5,39
AGRA,GRP AGRA FORT,2018,6,48
AGRA,GRP AGRA FORT,2018,7,20
AGRA,GRP AGRA FORT,2018,8,26
AGRA,GRP AGRA FORT,2018,9,15
AGRA,GRP AGRA FORT,2018,10,23
AGRA,GRP AGRA FORT,2018,11,30
AGRA,GRP AGRA FORT,2018,12,25
AGRA,HARI PARVAT,2016,1,75
AGRA,HARI PARVAT,2016,2,64
AGRA,HARI PARVAT,2016,3,68
AGRA,HARI PARVAT,2016,4,48
AGRA,HARI PARVAT,2016,5,53
AGRA,HARI PARVAT,2016,6,79
AGRA,HARI PARVAT,2016,7,86
AGRA,HARI PARVAT,2016,8,74
AGRA,HARI PARVAT,2016,9,79
AGRA,HARI PARVAT,2016,10,67
AGRA,HARI PARVAT,2016,11,58
AGRA,HARI PARVAT,2016,12,69
AGRA,HARI PARVAT,2017,1,67
AGRA,HARI PARVAT,2017,2,49
AGRA,HARI PARVAT,2017,3,66
AGRA,HARI PARVAT,2017,4,62
AGRA,HARI PARVAT,2017,5,66
AGRA,HARI PARVAT,2017,6,76
AGRA,HARI PARVAT,2017,7,72
AGRA,HARI PARVAT,2017,8,78
AGRA,HARI PARVAT,2017,9,82
AGRA,HARI PARVAT,2017,10,99
AGRA,HARI PARVAT,2017,11,85
AGRA,HARI PARVAT,2017,12,94
AGRA,HARI PARVAT,2018,1,79
AGRA,HARI PARVAT,2018,2,67
AGRA,HARI PARVAT,2018,3,88
AGRA,HARI PARVAT,2018,4,69
AGRA,HARI PARVAT,2018,5,66
AGRA,HARI PARVAT,2018,6,76
AGRA,HARI PARVAT,2018,7,78
AGRA,HARI PARVAT,2018,8,61
AGRA,HARI PARVAT,2018,9,67
